Release Date,Time,Actual,Forecast,Previous
25-Nov-20,10:30,-0.754M,0.127M,0.768M
18-Nov-20,10:30,0.768M,1.650M,4.278M
12-Nov-20,11:00,4.278M,-0.913M,-7.998M
4-Nov-20,10:30,-7.998M,0.890M,4.320M
28-Oct-20,9:30,4.320M,1.230M,-1.001M
21-Oct-20,9:30,-1.001M,-1.021M,-3.818M
15-Oct-20,10:00,-3.818M,-2.835M,0.501M
7-Oct-20,9:30,0.501M,0.294M,-1.980M
30-Sep-20,9:30,-1.980M,1.569M,-1.639M
23-Sep-20,9:30,-1.639M,-2.325M,-4.389M
16-Sep-20,9:30,-4.389M,1.271M,2.032M
10-Sep-20,10:00,2.032M,-1.335M,-9.362M
2-Sep-20,9:30,-9.362M,-1.887M,-4.689M
26-Aug-20,9:30,-4.689M,-3.694M,-1.632M
19-Aug-20,9:30,-1.632M,-2.670M,-4.512M
12-Aug-20,9:30,-4.512M,-2.875M,-7.373M
5-Aug-20,9:30,-7.373M,-3.001M,-10.612M
29-Jul-20,9:30,-10.612M,0.357M,4.892M
22-Jul-20,9:30,4.892M,-2.088M,-7.493M
15-Jul-20,9:30,-7.493M,-2.098M,5.654M
8-Jul-20,9:30,5.654M,-3.114M,-7.195M
1-Jul-20,9:30,-7.195M,-0.710M,1.442M
24-Jun-20,9:30,1.442M,0.299M,1.215M
17-Jun-20,9:30,1.215M,-0.152M,5.720M
10-Jun-20,9:30,5.720M,-1.738M,-2.077M
3-Jun-20,9:30,-2.077M,3.038M,7.928M
28-May-20,10:00,7.928M,-1.944M,-4.983M
20-May-20,9:30,-4.983M,1.151M,-0.745M
13-May-20,9:30,-0.745M,4.147M,4.590M
6-May-20,9:30,4.590M,7.759M,8.991M
29-Apr-20,9:30,8.991M,10.619M,15.022M
22-Apr-20,9:30,15.022M,15.150M,19.248M
15-Apr-20,9:30,19.248M,11.676M,15.177M
8-Apr-20,9:30,15.177M,9.271M,13.834M
1-Apr-20,9:30,13.834M,3.997M,1.623M
25-Mar-20,9:30,1.623M,2.774M,1.954M
18-Mar-20,9:30,1.954M,3.256M,7.664M
11-Mar-20,9:30,7.664M,2.266M,0.785M
4-Mar-20,10:30,0.785M,2.644M,0.452M
26-Feb-20,10:30,0.452M,2.005M,0.414M
20-Feb-20,11:00,0.414M,2.494M,7.459M
12-Feb-20,10:30,7.459M,2.987M,3.355M
5-Feb-20,10:30,3.355M,2.831M,3.548M
29-Jan-20,10:30,3.548M,0.482M,-0.405M
23-Jan-20,11:00,-0.405M,-1.009M,-2.549M
15-Jan-20,10:30,-2.549M,-0.474M,1.164M
8-Jan-20,10:30,1.164M,-3.572M,-11.463M
3-Jan-20,11:00,-11.463M,-3.288M,-5.474M
27-Dec-19,11:00,-5.474M,-1.724M,-1.085M
18-Dec-19,10:30,-1.085M,-1.288M,0.822M
11-Dec-19,10:30,0.822M,-2.763M,-4.856M
4-Dec-19,10:30,-4.856M,-1.734M,1.572M
27-Nov-19,10:30,1.572M,-0.418M,1.379M
20-Nov-19,10:30,1.379M,1.543M,2.219M
14-Nov-19,11:00,2.219M,1.649M,7.929M
6-Nov-19,10:30,7.929M,1.515M,5.702M
30-Oct-19,9:30,5.702M,0.494M,-1.699M
23-Oct-19,9:30,-1.699M,2.232M,9.281M
17-Oct-19,10:00,9.281M,2.878M,2.927M
9-Oct-19,9:30,2.927M,1.413M,3.100M
2-Oct-19,9:30,3.100M,1.567M,2.412M
25-Sep-19,9:30,2.412M,-0.249M,1.058M
18-Sep-19,9:30,1.058M,-2.496M,-6.912M
11-Sep-19,9:30,-6.912M,-2.686M,-4.771M
5-Sep-19,10:00,-4.771M,-2.488M,-10.027M
28-Aug-19,9:30,-10.027M,-2.112M,-2.700M
21-Aug-19,9:30,-2.700M,-1.889M,1.580M
14-Aug-19,9:30,1.580M,-2.775M,2.385M
7-Aug-19,9:30,2.385M,-2.845M,-8.496M
31-Jul-19,9:30,-8.496M,-2.588M,-10.835M
24-Jul-19,9:30,-10.835M,-4.011M,-3.116M
17-Jul-19,9:30,-3.116M,-2.694M,-9.499M
10-Jul-19,9:30,-9.499M,-3.081M,-1.085M
3-Jul-19,9:30,-1.085M,-2.964M,-12.788M
26-Jun-19,9:30,-12.788M,-2.540M,-3.106M
